"title","abstract","doi","included_label","llm_included","llm_excluded","llm_justification"
"Role of green technology innovation and renewable energy in carbon neutrality: A sustainable investigation from Turkey (2021)","After the Paris Climate Conference (COP21), many countries start progressing towards carbon neutrality targets. In doing so, green technology innovations (GTIs) and clean energy are the essential factors that can help to achieve the carbon neutrality goal. Therefore, this paper examines the linkages between green technology innovation and renewable energy and carbon dioxide emissions based on the STIRPAT model in Turkey during the time of 1990-2018. The study used testing like ""unit-root"" to verify the variables' integrative properties containing the information for structural breaks. Also, the bootstrapping ARDL-bound testing technique is used to analyze the relationship between the variables. The causal relationship between green technology innovation, energy consumption, renewable energy, population, income per capita, and carbon dioxide emissions is tested through a Granger causality test. The empirical findings show that green technology innovation, renewable energy, energy consumption, population, income per capita, and carbon dioxide emissions are co-integrated for the long-term association. Additionally, green technology innovation and renewable energy decline carbon dioxide emissions, whereas energy consumption, population, and per capita enhance carbon emissions. This paper helps the policymakers design a comprehensive policy for strengthening environmental sustainability through green technology innovation and renewable energy, specifically in the region of Turkey.","10.1016/j.jenvman.2021.113004","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Sustainable Solutions for Green Financing and Investment in Renewable Energy Projects (2020)","The lack of long-term financing, the low rate of return, the existence of various risks, and the lack of capacity of market players are major challenges for the development of green energy projects. This paper aimed to highlight the challenges of green financing and investment in renewable energy projects and to provide practical solutions for filling the green financing gap. Practical solutions include increasing the role of public financial institutions and non-banking financial institutions (pension funds and insurance companies) in long-term green investments, utilizing the spillover tax to increase the rate of return of green projects, developing green credit guarantee schemes to reduce the credit risk, establishing community-based trust funds, and addressing green investment risks via financial and policy de-risking. The paper also provides a practical example of the implementation of the proposed tools.","10.3390/en13040788","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Green bonds for financing renewable energy and energy efficiency in South-East Asia: a review of policies (2019)","Mobilizing private finance for renewable energy and energy efficiency is critical for Association of South-East Asian Nations (ASEAN) not only for the reduction of global temperature rise but also for meeting fast-growing energy demand. Two-thirds of green bonds issued in ASEAN were used to finance renewable energy and energy efficiency projects. This paper provides a review of green bond issuance and green bond policies in ASEAN. Issuance of green bonds in top three green bond issuing countries in ASEAN, i.e. Indonesia, Malaysia and Singapore, are reviewed in detail. Green bond policies in ASEAN are effective in promoting green bond issuance. However, this does not mean that green bond policies are effective in promoting renewable energy and energy efficiency projects in ASEAN. Proceedings of green bonds issued in ASEAN can be used for financing projects abroad or re-financing past loans, thus do not necessarily promote green investments in ASEAN.","10.1080/20430795.2019.1704160","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Influence of renewable energy power fluctuations on water electrolysis for green hydrogen production (2022)","The development of renewable energy technologies is essential to achieve carbon neutrality. Hydrogen can be stably stored and transported in large quantities to maximize power utilization. Detailed understanding of the characteristics and operating methods of water electrolysis technologies, in which naturally intermittent fluctuating power is used directly, is required for green hydrogen production, because fluctuating power-driven water electrolysis processes significantly differ from industrial water electrolysis processes driven by steady grid power. Thus, it is necessary to overcome several issues related to the direct use of fluctuating power. This article reviews the characteristics of fluctuating power and its generation as well as the current status and issues related to the operation conditions, water electrolyzer configuration, system requirements, stack/catalyst durability, and degradation mechanisms under the direct use of fluctuating power sources. It also provides an accelerated degradation test protocol method for fair catalyst performance comparison and share of effective design directions. Finally, it discusses potential challenges and recommendations for further improvements in water electrolyzer components and systems suitable for practical use, suggesting that a breakthrough could be realized toward the achievement of a sustainable hydrogen-based society.","10.1016/j.ijhydene.2022.11.018","","0","0","The paper does not meet any of the inclusion criteria as it focuses on the influence of renewable energy power fluctuations on water electrolysis for green hydrogen production, which does not align with the research question on green policies in promoting renewable energy investments in developing countries."
"Strategies for Improving Carbon Emission Efficiency of Municipal Solid Waste Management System in Western China: A Transition toward Environmental Equity. (2026)","Rapid urban expansion poses critical challenges for cross-regional municipal solid waste (MSW) management within the context of climate mitigation and sustainable development. While the energy substitution benefits of MSW are well documented, significant gaps remain regarding how regional integration can promote environmental equity in waste management. This study evaluates the carbon emission efficiency (CEE) of MSW management systems in 211 cities across Western China from 2008 to 2023, utilizing a coupled greenhouse gas emission and economic cost model. By integrating machine learning-optimized geo-detector models with flexible spatial scanning algorithms, we identified systemic renewable energy poverty risks across multiple spatial scales, revealed spatial disparities in environmental equity, and developed 90 policy scenarios to enhance CEE. The results indicate that (1) CEE in Western China exhibits a distinct core-periphery spatiotemporal pattern, characterized by widening regional disparities where disproportionate waste-to-energy conversion exacerbates systemic renewable energy poverty. (2) Energy poverty risks aggregate in plate-axis-patch patterns under multiscale spatial scanning, encompassing 69.44% of Zero-Waste Cities. (3) Although waste-to-energy offers the highest potential for efficiency gains in single-stage optimization, strengthening source separation and recycling via multistage synergistic optimization is critical for systemic sustainability. The regional integrated waste cogovernance framework established herein provides replicable insights for advancing environmental equity and energy justice, offering decarbonization pathways for rapidly urbanizing emerging economies worldwide.","10.1021/acs.est.5c14017","","0","0","The paper does not meet any of the inclusion criteria because it does not focus on green policies in promoting renewable energy investments in developing countries. The study's focus is on municipal solid waste management in Western China, which is unrelated to the research question."
"Socioeconomic and energy transition disparities in air pollution-related mortality across Europe. (2026)","Marked socioeconomic divides and unequal advances in renewable energy transition across Europe have raised concerns about widening inequalities in air pollution exposure and related health risks. Here we analyzed 88.8 million deaths across 653 contiguous regions in 31 European countries, encompassing the entire urban and rural population of 521 million people from 2003 to 2019, to investigate how socioeconomic conditions and renewable energy adoption relate to regional disparities in acute air pollution-related mortality risks and their trends over time. Regions with higher gross domestic product per capita, lower poverty rates and longer life expectancy-primarily in Western and Northern Europe-showed lower and declining risks in air pollution-related mortality compared to other regions in Europe. We assessed renewable energy transition as both an upstream driver and an effect modifier of the relationship between air pollution and mortality. As an upstream driver, greater renewable energy adoption was associated with 15-54% lower air pollutant levels and, consequently, 12-53% fewer attributable deaths. As an effect modifier, high renewable adoption was significantly associated with lower and declining mortality risks. Taken together, our findings show that differences in socioeconomic conditions and energy transition are associated with widening disparities in air pollution-related health risks across Europe.","10.1038/s41591-026-04293-x","","0","0","The paper does not meet any of the inclusion criteria because it does not focus on green policies in promoting renewable energy investments in developing countries. It focuses on socioeconomic and energy transition disparities in air pollution-related mortality across Europe."
"Priorities and opportunities for clean energy transitions to advance health in low-income and middle-income countries. (2026)","Energy supports health and economic prosperity, yet low-income and socially or politically marginalised populations consume the least energy and depend on the most polluting fuels (ie, biomass). Despite decades of efforts to replace biomass, which is more damaging to health and the climate than cleaner alternatives (ie, gas and electricity), hundreds of millions of people remain without the benefits of clean and modern energy. We outline four priority areas for transitions to clean energy in low-income and middle-income countries: (1) rapidly reduce use of polluting fuels; (2) leverage clean energy to deliver direct health benefits; (3) align energy transitions with climate mitigation and adaptation goals; and (4) address persistent inequalities in energy access across and within countries. We highlight strategic, cross-cutting opportunities to strengthen policy design and implementation: targeted energy subsidies for populations facing the greatest barriers to access and sustained use, bundled interventions that combine clean energy with health care and nutrition services, integrated infrastructure and urban planning, and digital tools for improving data, payments, and service delivery. Clean energy must do more than reach households; it must fully displace polluting fuels and contribute to improved health, equity, and climate resilience where the need is greatest.","10.1016/S2214-109X(25)00527-3","","0","0","The paper does not meet any of the inclusion criteria as it does not focus on the comparative effectiveness of green policies in promoting renewable energy investments in developing countries. However, it does not match any of the exclusion criteria either, as it is a peer-reviewed article written in English and published in 2026, which falls within the specified time frame."
"The solar E-waste challenge: A Zambian case study of informal disposal, counterfeit technologies and low literacy. (2025)","The exponential growth of off-grid solar photovoltaic (PV) systems across Sub-Saharan Africa (SSA) has significantly improved rural electrification but has also introduced new environmental management challenges related to end-of-life disposal. In Zambia, where over one million solar devices were sold between 2018 and 2022, the short lifespan of many solar kits, often under four years, has resulted in a growing and unregulated stream of solar electronic waste (e-waste). More than 90% of these products are technically repairable yet rarely serviced. This study examines the environmental impacts of informal solar e-waste disposal practices in rural Zambia, where obsolete products are typically buried, burned, or repurposed, posing risks to both ecosystem and human health. Using the Rural Development Stakeholder Hybrid Adoption Model (RUDSHAM), the research investigates how counterfeit technologies, low literacy, and informal market dynamics intensify poor waste handling. Fieldwork conducted between October 2022 and May 2025 included 28 interviews and 2 focus group discussions across four rural districts (Mkushi, Kapiri, Chongwe, and Luano-Chingola). The study identifies key drivers of e-waste mismanagement, including inadequate policy frameworks, counterfeit solar imports, poverty, and low consumer awareness. Recommendations include the development of a national e-waste policy, enhanced border controls, formalisation of informal markets, and community-based solar literacy initiatives. The findings contribute empirical insights to environmental governance and waste policy debates in SSA, empasising the need for lifecycle-based solar waste strategies. This work holds practical relevance for environmental managers, policy-makers, and researchers focused on sustainable energy and waste systems in off-grid, low-income contexts.","10.1016/j.jenvman.2025.127618","","0","0","The paper does not meet any of the inclusion criteria as it does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries. However, it does not match any of the exclusion criteria either."
"Unveiling the impact of geopolitical risk, climate policy uncertainty, environmental policy stringency, and financial efficiency on renewable energy investment in the USA: Evidence from novel dynamic simulated ARDL approach. (2025)","Fossil fuel energy consumption not only leads to climate change but also contributes to energy poverty and the unequal distribution of its supply, urging investment in alternative and clean energy sources. Furthermore, unprecedented geopolitical risk and climate policy uncertainty pose serious concerns for a steady energy supply, and the literature provides insufficient evidence for these important indicators, particularly considering the amount of renewable energy investment in the USA. The current paper formulates an interesting framework to scrutinize the impact of geopolitical risk, climate policy uncertainty, environmental policy stringency, and financial institutions' efficiency on renewable energy investment in the USA. For empirical analysis, this study utilizes modern econometric approaches such as the recently developed novel dynamic simulated ARDL and the frequency domain causality approach, harnessing the annual time series data spanning from 1990 to 2022. The obtained results explain that geopolitical risk negatively affects renewable energy investment, suggesting that higher geopolitical risk hinders renewable energy investment. Contrary to this, climate policy uncertainty, environmental policy, financial integration, and financial institutions' efficiency have a significant positive impact on renewable energy investment. In addition, the frequency domain causality test provides evidence of long, medium, and short-term causal connections between variables. The robustness analysis corroborates the main findings. Based on these results, the USA should promote renewable energy initiatives to mitigate geopolitical concerns among investors. Furthermore, the financial framework should support sustainability by directing energy investments in the capital market, encouraging long-term financial funding for energy projects, and incentivizing renewable energy investments.","10.1016/j.jenvman.2025.127057","","0","0","The paper does not meet the inclusion criteria because it focuses on the USA, a developed country, rather than developing countries. It also does not specifically examine the effectiveness of green policies such as feed-in tariffs, tax credits, and net metering."
"Phase-Change Microcapsules Boosting Clean Water Production and Electricity Output through Janus Bilayer Poly(vinyl alcohol)/Chitosan Composite Aerogels. (2025)","To address two critical global challenges─clean water scarcity and energy poverty─an innovative Janus bilayer composite aerogel is designed as a single solar-driven platform for sustainable clean water production and electricity generation. This type of Janus bilayer aerogel was successfully fabricated with a hydrophobic upper layer comprising a poly(vinyl alcohol) (PVA)/chitosan (CS)/carbon black (CB) composite aerogel and a hydrophilic lower layer based on a PVA/CS/phase-change microcapsule composite aerogel. With such a Janus bilayer structure, the composite aerogel demonstrates efficient light absorption and superior salt-resistant performance by its upper layer and prominent latent heat-storage and water-transport abilities by its lower layer. More importantly, the introduction of phase-change microcapsules enables the lower layer of the developed bilayer aerogel to store photothermal energy absorbed by its upper layer, continually driving interfacial evaporation under insufficient solar irradiation conditions. Benefiting from these advantages, the developed composite aerogel-based evaporator shows a high evaporation rate of 2.23 kg m-2 h-1 under one-sun irradiation alone with good resistance to salt accumulation. Compared to a control evaporator without any phase-change microcapsules, the developed evaporator obtained an increase in the total mass change of 150% under dark conditions. Meanwhile, a thermoelectrical generator equipped with the composite aerogel exhibits an open-circuit voltage of 143.89 mV under one-sun irradiation alone with an elongated power output period of 30 min. With an innovative Janus bilayer structural design by combining a biodegradable PVA/CS aerogel with phase-change microcapsules and CB nanoparticles, this study represents a significant advancement in renewable energy utilization, particularly in sustainable water purification and hybrid energy systems. The developed Janus bilayer composite aerogel exhibits great application potential in highly efficient freshwater production and electricity generation under intermittent sunlight irradiation.","10.1021/acsami.5c03806","","0","0","The paper does not meet any of the inclusion criteria as it focuses on a specific renewable energy technology (Janus bilayer composite aerogel) rather than green policies in promoting renewable energy investments in developing countries."
"Examining spatial variations in the relationship between domestic energy consumption and its driving factors using multiscale geographically weighted regression: a case study in Nottingham, England. (2025)","BACKGROUND: Domestic energy consumption contributes to over a quarter of the UK's carbon emissions, understanding how it is driven can be helpful for delivering a fair energy transition to net zero. Energy usage is noted as a spatial phenomenon, however, the spatial variability of how it is driven is rarely considered in existing UK studies. To contribute to this research gap, this study examines the spatial variations in the relationship between domestic energy consumption and its driving factors using the local spatial statistical modelling technique multiscale geographically weighted regression (MGWR). With explanatory variables on dwelling and household characteristics, this study analyses data at Lower Layer Super Output Area (LSOA) level on the study area, Nottingham, a somewhat socio-economically deprived city that also has the UK's largest district heating (DH) system supplying low-carbon residential heating. RESULTS: The study reveals domestic energy consumption is driven by factors at different spatial scales with spatially varied or even spatially heterogeneous patterns. Specifically, higher domestic energy consumption is affected differently across local areas by larger percentages of dwellings with 4 or more bedrooms, unemployment, terraced dwellings, whilst by smaller percentages of social-rented housing tenures and central heating type of district heating. The impacts of dwelling energy efficiency, median household income, percentage of households with 3 or more people, fuel poverty, and central heating with renewable energy, vary across different local areas. Therefore, while there are identifiable relationships between these factors and domestic energy consumption, they differ by locality, and aggregated level analysis may fail to accurately to capture these patterns. CONCLUSIONS: Nuanced local patterns of how domestic energy consumption is driven suggest placed-based approaches and more local deliberation to devise policies may be more suitable than ""one-size-fit-all"" policy plans to achieve the envisioned outcomes of rapid and fair domestic energy decarbonisation and just energy transition to net zero.","10.1186/s13705-025-00523-1","","0","0","The paper does not meet the research question criteria, as it focuses on spatial variations in domestic energy consumption in Nottingham, England, rather than the comparative effectiveness of green policies in promoting renewable energy investments in developing countries."
"Nexus of clean energy internet with energy poverty and health: Evidence from China. (2025)","Inadequate availability of clean electrical energy may cause new risks of energy poverty. We use data from 30 Chinese provinces from 2000 to 2022 and construct a fixed-effects model that accounts for cross-sectional dependence to evaluate the impact of energy internet development on energy poverty. The findings show that (1) the energy internet effectively addresses a new type of energy poverty brought on by a shortage of renewable resources and energy misallocation. (2) From the results of the indicator decomposition, clean energy development significantly curbs energy poverty; energy internet development reduces energy poverty by fostering a shift from polluting to clean energy-consuming patterns. (3) Energy internet development substantially reduces energy poverty in the provinces that benefited from the West-East Electricity Transmission Project. (4) The energy internet can reduce poverty by improving energy efficiency, reducing energy prices, and narrowing regional development gaps. (5) Considering the health risks of residents caused by energy poverty, we further prove that the energy internet helps to limit the expansion of deaths from non-communicable chronic respiratory diseases; namely, the energy internet has a double dividend of poverty reduction and health effects. This paper provides insights for countries worldwide to build an energy internet to eradicate energy poverty based on clean energy endowments.","10.1016/j.jenvman.2025.125666","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"The role of electric cooking in providing sustainable school meals in low-income and lower-middle-income countries. (2025)","Approximately 418 million children are beneficiaries of school meal programmes globally. In general, supportive infrastructure is necessary for the successful delivery of school meals, but in many low-income and lower-middle-income countries (LLMICs), schools have poor access to essential facilities such as kitchens, electricity, and clean water. Moreover, schools in LLMICs often rely on charcoal or firewood for cooking with consequent negative health, social, economic, and environmental impacts that disproportionally affect women and children. The increasing availability of electricity and large energy efficient cooking appliances in LLMICs suggests that electric cooking could offer a potential solution. However, although the impacts of providing electricity to schools on educational outcomes have been explored, and the scope for electric cooking transitions at household level is increasingly studied, evidence on the role of electricity in providing sustainable school meals remains scarce, particularly in LLMICs. Most existing studies on school meals focus on the health and nutritional values of school meals and do not consider the energy used in their preparation or associated impacts. To address this gap, this Personal View explores the contribution of electric cooking to providing sustainable school meals. Recent case studies from Kenya, Lesotho, Nepal, and Guinea that introduced electric cooking as an alternative to traditional cooking fuels have shown how electric cooking can contribute to providing sustainable schools meals in LLMICs. This Personal View highlights multiple sustainable benefits from shifting to electric cooking, which include environmental, economic, and health benefits, and time saving, with potential gender benefits intersecting these domains. Sharing lessons learned from each study could improve the delivery and effectiveness of these interventions for other schools, and understanding the range of contexts and challenges could help towards programme design for wider scaling of sustainable school meal provision.","10.1016/S2542-5196(25)00004-X","","0","0","The paper does not meet any of the inclusion criteria as it does not focus on green policies in promoting renewable energy investments in developing countries. However, it does meet some of the inclusion criteria as it is an empirical study (case studies) and focuses on sustainable school meals in low-income and lower-middle-income countries, which is related to the topic of renewable energy investments. The paper also does not match any of the exclusion criteria."
"From manure to megawatts: Navigating the sustainable innovation solution through biogas production from livestock waste for harnessing green energy for green economy. (2024)","This article aims to provide a systematic review of the literature on animal biomass and biogas plants through an analysis of externalities and benefits in economic, social, and environmental terms. In recent years, the spread of biogas plants has played an important role, especially in rural areas, generating benefits not only for the individual farm but for entire communities, contributing to the reduction of energy poverty and, at the same time, promoting the production of energy and organic manure. In light of the findings, the study argues that: (a) more public subsidies are needed; (b) the deployment of an appropriate policy mix would encourage the spread of small and medium-sized plants, with a reduction in road transport; and (c) targeted and diversified investments are needed on a geographic-by-geographic basis.","10.1016/j.heliyon.2024.e34504","","0","0","The paper does not meet the research question, as it focuses on biogas production from livestock waste rather than green policies in promoting renewable energy investments in developing countries."
